tier,concurrency,n_requests,n_violations_sampled,wall_time_s,throughput_req_s,client_admitted,client_denied,client_error,client_timeout,client_p50_ms,client_p95_ms,client_p99_ms,webhook_n_observed,webhook_discrepancy,webhook_p50_ms,webhook_p95_ms,webhook_p99_ms,webhook_allow_p50_ms,webhook_allow_p95_ms,webhook_allow_p99_ms,webhook_deny_p50_ms,webhook_deny_p95_ms,webhook_deny_p99_ms
serial_baseline,1,150,13,110.87,1.4,137,13,0,0,714.2,853.2,1246.7,150,0,3.483,4.938,9.5,3.5,5.15,9.63,3.214,4.35,4.87
concurrent_10,10,300,27,34.45,8.7,273,27,0,0,1124.4,1405.0,1564.8,300,0,3.471,4.533,8.0,3.478,4.279,7.135,3.318,9.65,17.3
concurrent_30,30,300,27,32.98,9.1,273,27,0,0,3235.1,3811.5,4122.3,300,0,3.502,6.1,9.0,3.517,6.235,9.27,3.269,4.662,4.933
