filename,resource_kind,label,category,subtype,expected_constraint,outcome,predicted_label,latency_ms,denial_messages
compliant/compliant-pod-0071.yaml,Pod,0,none,none,,ADMITTED,0,1915.62,
compliant/compliant-pod-0072.yaml,Pod,0,none,none,,ADMITTED,0,1984.86,
compliant/compliant-pod-0073.yaml,Pod,0,none,none,,ADMITTED,0,1857.2,
compliant/compliant-pod-0074.yaml,Pod,0,none,none,,ADMITTED,0,1945.89,
compliant/compliant-pod-0075.yaml,Pod,0,none,none,,ADMITTED,0,1982.08,
compliant/compliant-pod-0076.yaml,Pod,0,none,none,,ADMITTED,0,1948.66,
compliant/compliant-pod-0077.yaml,Pod,0,none,none,,ADMITTED,0,1933.31,
compliant/compliant-pod-0078.yaml,Pod,0,none,none,,ADMITTED,0,1903.29,
compliant/compliant-pod-0079.yaml,Pod,0,none,none,,ADMITTED,0,1951.18,
compliant/compliant-pod-0080.yaml,Pod,0,none,none,,ADMITTED,0,1861.75,
compliant/compliant-pod-0081.yaml,Pod,0,none,none,,ADMITTED,0,1221.13,
compliant/compliant-pod-0082.yaml,Pod,0,none,none,,ADMITTED,0,1422.61,
compliant/compliant-pod-0083.yaml,Pod,0,none,none,,ADMITTED,0,1850.32,
compliant/compliant-pod-0084.yaml,Pod,0,none,none,,ADMITTED,0,1828.98,
compliant/compliant-pod-0085.yaml,Pod,0,none,none,,ADMITTED,0,1933.56,
compliant/compliant-pod-0086.yaml,Pod,0,none,none,,ADMITTED,0,1796.61,
compliant/compliant-pod-0087.yaml,Pod,0,none,none,,ADMITTED,0,1866.05,
compliant/compliant-pod-0088.yaml,Pod,0,none,none,,ADMITTED,0,1878.65,
compliant/compliant-pod-0089.yaml,Pod,0,none,none,,ADMITTED,0,1823.33,
compliant/compliant-pod-0090.yaml,Pod,0,none,none,,ADMITTED,0,1810.1,
compliant/compliant-pod-0091.yaml,Pod,0,none,none,,ADMITTED,0,1860.22,
compliant/compliant-pod-0092.yaml,Pod,0,none,none,,ADMITTED,0,1738.77,
compliant/compliant-pod-0093.yaml,Pod,0,none,none,,ADMITTED,0,1862.63,
compliant/compliant-pod-0094.yaml,Pod,0,none,none,,ADMITTED,0,1844.53,
compliant/compliant-pod-0095.yaml,Pod,0,none,none,,ADMITTED,0,1787.69,
compliant/compliant-pod-0096.yaml,Pod,0,none,none,,ADMITTED,0,1806.03,
compliant/compliant-pod-0097.yaml,Pod,0,none,none,,ADMITTED,0,1595.13,
compliant/compliant-pod-0098.yaml,Pod,0,none,none,,ADMITTED,0,1240.19,
compliant/compliant-pod-0099.yaml,Pod,0,none,none,,ADMITTED,0,1871.38,
compliant/compliant-pod-0100.yaml,Pod,0,none,none,,ADMITTED,0,1834.25,
compliant/compliant-pod-0101.yaml,Pod,0,none,none,,ADMITTED,0,1880.31,
compliant/compliant-pod-0102.yaml,Pod,0,none,none,,ADMITTED,0,1799.01,
compliant/compliant-pod-0103.yaml,Pod,0,none,none,,ADMITTED,0,1813.59,
compliant/compliant-pod-0104.yaml,Pod,0,none,none,,ADMITTED,0,1824.56,
compliant/compliant-pod-0105.yaml,Pod,0,none,none,,ADMITTED,0,1850.78,
compliant/compliant-pod-0106.yaml,Pod,0,none,none,,ADMITTED,0,1885.08,
compliant/compliant-pod-0107.yaml,Pod,0,none,none,,ADMITTED,0,1859.03,
compliant/compliant-pod-0108.yaml,Pod,0,none,none,,ADMITTED,0,1834.54,
compliant/compliant-pod-0109.yaml,Pod,0,none,none,,ADMITTED,0,1719.4,
compliant/compliant-pod-0110.yaml,Pod,0,none,none,,ADMITTED,0,1852.8,
compliant/compliant-pod-0111.yaml,Pod,0,none,none,,ADMITTED,0,1853.08,
compliant/compliant-pod-0112.yaml,Pod,0,none,none,,ADMITTED,0,1857.51,
compliant/compliant-pod-0113.yaml,Pod,0,none,none,,ADMITTED,0,1786.24,
compliant/compliant-pod-0114.yaml,Pod,0,none,none,,ADMITTED,0,1638.07,
compliant/compliant-pod-0115.yaml,Pod,0,none,none,,ADMITTED,0,1558.1,
compliant/compliant-pod-0116.yaml,Pod,0,none,none,,ADMITTED,0,1683.99,
compliant/compliant-pod-0117.yaml,Pod,0,none,none,,ADMITTED,0,1729.51,
compliant/compliant-pod-0118.yaml,Pod,0,none,none,,ADMITTED,0,1736.8,
compliant/compliant-pod-0119.yaml,Pod,0,none,none,,ADMITTED,0,1743.15,
compliant/compliant-pod-0120.yaml,Pod,0,none,none,,ADMITTED,0,1905.6,
compliant/compliant-pod-0121.yaml,Pod,0,none,none,,ADMITTED,0,1967.39,
compliant/compliant-pod-0122.yaml,Pod,0,none,none,,ADMITTED,0,1945.67,
compliant/compliant-pod-0123.yaml,Pod,0,none,none,,ADMITTED,0,1742.03,
compliant/compliant-pod-0124.yaml,Pod,0,none,none,,ADMITTED,0,1949.03,
compliant/compliant-pod-0125.yaml,Pod,0,none,none,,ADMITTED,0,1908.4,
compliant/compliant-pod-0126.yaml,Pod,0,none,none,,ADMITTED,0,1853.16,
compliant/compliant-pod-0127.yaml,Pod,0,none,none,,ADMITTED,0,1759.69,
compliant/compliant-pod-0128.yaml,Pod,0,none,none,,ADMITTED,0,1874.02,
compliant/compliant-pod-0129.yaml,Pod,0,none,none,,ADMITTED,0,1869.89,
compliant/compliant-pod-0130.yaml,Pod,0,none,none,,ADMITTED,0,1829.06,
compliant/compliant-pod-0131.yaml,Pod,0,none,none,,ADMITTED,0,1527.15,
compliant/compliant-pod-0132.yaml,Pod,0,none,none,,ADMITTED,0,1541.45,
compliant/compliant-pod-0133.yaml,Pod,0,none,none,,ADMITTED,0,1620.4,
compliant/compliant-pod-0134.yaml,Pod,0,none,none,,ADMITTED,0,1650.51,
compliant/compliant-pod-0135.yaml,Pod,0,none,none,,ADMITTED,0,1757.5,
